,0
7,0
17,0
18,1
59,0
65,0
71,0
77,0
83,0
89,0
95,0
101,0
107,0
113,0
119,0
125,0
131,0
137,0
143,0
149,0
155,0
161,0
167,0
173,0
179,0
185,0
191,0
197,0
203,0
209,0
212,0
214,0
263,9
323,8
331,1
341,8
342,1
352,8
353,1
363,8
364,1
374,8
375,1
385,8
386,1
396,8
397,1
407,8
408,1
418,8
419,1
429,8
430,1
440,8
441,1
451,8
452,1
462,8
463,1
473,8
474,1
484,8
485,1
495,8
496,1
506,8
507,1
517,8
518,1
528,8
529,1
539,8
540,1
550,8
551,1
561,8
562,1
572,8
573,1
583,8
584,1
594,8
595,1
605,8
606,1
616,8
617,1
627,8
628,1
638,8
639,1
649,8
650,1
660,8
661,1
670,0
672,0
676,10
689,0
704,0
719,0
734,0
749,0
764,0
779,0
794,0
811,0
826,0
841,0
856,0
871,0
886,0
901,0
916,0
933,0
948,0
963,0
978,0
993,0
1008,0
1023,0
1038,0
1055,0
1070,0
1085,0
1100,0
1115,0
1130,0
1145,0
1181,0
1191,0
1193,10
1210,0
1214,10
1233,0
1237,10
1256,0
1260,10
1278,0
1281,10
1300,0
1302,10
1307,0
1319,30
1324,5
1334,18
1342,2
1348,26
1385,29
1392,27
1407,0
1425,0
1433,0
1484,16
1487,11
1502,11
1511,15
1517,28
1521,16
1526,0
1528,5
1529,7
1531,28
1554,10
2309,10
2346,11
2349,28
2353,0
2371,16
2391,16
2411,16
2431,16
2451,16
2471,16
2491,16
2511,16
2531,16
2551,16
2571,16
2591,16
2611,16
2631,16
2651,16
2671,16
2691,16
2711,16
2731,16
2751,16
2771,16
2791,16
2811,16
2831,16
2851,16
2871,16
2891,16
2909,0
2910,31
2911,7
2912,15
2913,16
2914,0
2915,0
2919,0
2920,29
2922,30
2929,14
2935,0
2936,13
2938,15
2974,0
2980,0
2981,12
2982,0
2983,15
2991,16
2995,0
2998,0
3000,15
3004,0
3005,29
3007,30
3014,14
3020,0
3021,13
3023,15
3058,0
3060,16
3063,12
3064,0
3065,15
3073,16
3077,0
3080,0
3082,15
3086,0
3087,29
3089,30
3096,14
3102,0
3103,13
3105,15
3140,0
3142,16
3145,12
3146,0
3147,15
3155,16
3159,0
3162,0
3164,15
3168,0
3169,29
3171,30
3178,14
3184,12
3185,0
3187,15
3214,0
3220,16
3226,0
3234,0
3236,16
3240,0
3243,0
3245,15
3249,0
3250,29
3252,30
3259,14
3265,0
3266,13
3268,15
3303,0
3305,16
3308,12
3309,0
3310,15
3318,16
3322,0
3325,0
3327,15
3331,0
3332,29
3334,30
3341,14
3347,0
3348,13
3350,15
3385,0
3387,16
3390,12
3391,0
3392,15
3400,16
3404,0
3407,0
3409,15
3413,0
3414,29
3416,30
3423,14
3429,0
3430,13
3432,15
3467,0
3469,16
3472,12
3473,0
3474,15
3482,16
3486,0
3489,0
3491,15
3495,0
3496,29
3498,30
3505,14
3511,12
3512,0
3514,15
3541,0
3547,16
3553,0
3561,0
3563,16
3567,0
3570,0
3572,15
3576,0
3577,29
3579,30
3586,14
3592,0
3593,13
3595,15
3630,0
3632,16
3635,12
3636,0
3637,15
3645,16
3649,0
3652,0
3654,15
3658,0
3659,29
3661,30
3668,14
3674,0
3675,13
3677,15
3712,0
3714,16
3717,12
3718,0
3719,15
3727,16
3731,0
3734,0
3736,15
3740,0
3741,29
3743,30
3750,14
3756,0
3757,13
3759,15
3794,0
3796,16
3799,12
3800,0
3801,15
3809,16
3813,0
3816,0
3818,15
3822,0
3823,29
3825,30
3832,14
3838,12
3839,0
3841,15
3868,0
3874,16
3880,0
3888,0
3890,16
3894,0
3897,0
3899,15
3903,0
3904,29
3906,30
3913,14
3919,0
3920,13
3922,15
3957,0
3959,16
3962,12
3963,0
3964,15
3972,16
3976,0
3979,0
3981,15
3985,0
3986,29
3988,30
3995,14
4001,0
4002,13
4004,15
4039,0
4041,16
4044,12
4045,0
4046,15
4054,16
4058,0
4061,0
4063,15
4067,0
4068,29
4070,30
4077,14
4083,0
4084,13
4086,15
4121,0
4123,16
4126,12
4127,0
4128,15
4136,16
4140,0
4142,0
4144,0
4150,0
4151,15
4152,16
4153,0
4154,0
4158,0
4159,29
4160,30
4163,17
4170,0
4174,14
4180,0
4181,13
4183,15
4219,0
4226,0
4228,0
4229,13
4231,15
4266,0
4268,16
4271,12
4272,0
4273,15
4281,16
4284,12
4285,0
4286,15
4294,16
4298,0
4301,0
4303,15
4307,0
4308,29
4309,30
4312,17
4319,0
4323,14
4329,0
4330,13
4332,15
4367,0
4369,16
4374,0
4375,13
4377,15
4412,0
4414,16
4417,12
4418,0
4419,15
4427,16
4430,12
4431,0
4432,15
4440,16
4444,0
4447,0
4449,15
4453,0
4454,29
4455,30
4458,17
4465,0
4469,14
4475,0
4476,13
4478,15
4513,0
4515,16
4520,0
4521,13
4523,15
4558,0
4560,16
4563,12
4564,0
4565,15
4573,16
4576,12
4577,0
4578,15
4586,16
4590,0
4593,0
4595,15
4599,0
4600,29
4601,30
4604,17
4611,0
4615,14
4621,12
4622,0
4624,15
4651,0
4657,16
4662,0
4663,13
4665,15
4700,0
4702,16
4707,0
4708,13
4710,15
4745,0
4747,16
4750,12
4751,0
4752,15
4760,16
4764,0
4767,0
4769,15
4773,0
4774,29
4775,30
4778,17
4785,0
4789,14
4795,0
4796,13
4798,15
4833,0
4835,16
4840,0
4841,13
4843,15
4878,0
4880,16
4883,12
4884,0
4885,15
4893,16
4896,12
4897,0
4898,15
4906,16
4910,0
4913,0
4915,15
4919,0
4920,29
4921,30
4924,17
4931,0
4935,14
4941,12
4942,0
4944,15
4971,0
4977,16
4982,0
4983,13
4985,15
5020,0
5022,16
5027,0
5028,13
5030,15
5065,0
5067,16
5070,12
5071,0
5072,15
5080,16
5084,0
5087,0
5089,15
5093,0
5094,29
5095,30
5098,17
5105,0
5109,14
5115,0
5116,13
5118,15
5153,0
5155,16
5160,0
5161,13
5163,15
5198,0
5200,16
5203,12
5204,0
5205,15
5213,16
5216,12
5217,0
5218,15
5226,16
5230,0
5233,0
5235,15
5239,0
5240,29
5241,30
5244,17
5251,0
5256,14
5260,0
5262,13
5270,0
5272,16
5277,0
5279,13
5287,0
5289,16
5292,0
5294,0
5297,0
5303,0
5304,15
5305,16
5306,0
5307,0
5311,0
5312,29
5313,30
5315,17
5317,13
5320,11
5327,0
5331,0
5335,0
5339,14
5345,0
5346,13
5348,15
5384,0
5391,0
5393,0
5394,13
5396,15
5431,0
5433,16
5438,0
5439,13
5441,15
5476,0
5478,16
5483,0
5484,13
5486,15
5521,0
5523,16
5526,12
5527,0
5528,15
5536,16
5539,12
5540,0
5541,15
5549,16
5552,12
5553,0
5554,15
5562,16
5565,12
5566,0
5567,15
5575,16
5579,0
5582,0
5584,15
5588,0
5589,29
5590,30
5592,17
5594,13
5597,11
5604,0
5608,0
5612,0
5616,14
5622,12
5623,0
5625,15
5652,0
5658,16
5663,0
5664,13
5666,15
5701,0
5703,16
5708,0
5709,13
5711,15
5746,0
5748,16
5753,0
5754,13
5756,15
5791,0
5793,16
5798,0
5799,13
5801,15
5836,0
5838,16
5841,12
5842,0
5843,15
5851,16
5854,12
5855,0
5856,15
5864,16
5867,12
5868,0
5869,15
5877,16
5881,0
5884,0
5886,15
5890,0
5891,29
5892,30
5894,17
5896,13
5899,11
5906,0
5910,0
5914,0
5918,14
5924,12
5925,0
5927,15
5954,0
5960,16
5965,0
5966,13
5968,15
6003,0
6005,16
6010,0
6011,13
6013,15
6048,0
6050,16
6055,0
6056,13
6058,15
6093,0
6095,16
6100,0
6101,13
6103,15
6138,0
6140,16
6143,12
6144,0
6145,15
6153,16
6156,12
6157,0
6158,15
6166,16
6169,12
6170,0
6171,15
6179,16
6183,0
6186,0
6188,15
6192,0
6193,29
6194,30
6196,17
6198,13
6201,11
6208,0
6212,0
6216,0
6220,14
6226,0
6227,13
6229,15
6264,0
6266,16
6271,0
6272,13
6274,15
6309,0
6311,16
6316,0
6317,13
6319,15
6354,0
6356,16
6361,0
6362,13
6364,15
6399,0
6401,16
6404,12
6405,0
6406,15
6414,16
6417,12
6418,0
6419,15
6427,16
6430,0
6432,0
6435,0
6441,0
6442,15
6443,16
6444,0
6445,0
6450,0
6453,0
6458,0
6462,0
6466,0
6470,0
6474,0
6478,0
6482,0
6488,14
6494,0
6495,13
6497,15
6533,0
6540,0
6542,0
6543,13
6545,15
6580,0
6582,16
6587,0
6588,13
6590,15
6625,0
6627,16
6632,0
6633,13
6635,15
6670,0
6672,16
6677,0
6678,13
6680,15
6715,0
6717,16
6722,0
6723,13
6725,15
6760,0
6762,16
6767,0
6768,13
6770,15
6805,0
6807,16
6812,12
6813,0
6815,15
6842,0
6848,16
6853,12
6854,0
6856,15
6883,0
6889,16
6894,12
6895,0
6897,15
6924,0
6930,16
6935,12
6936,0
6938,15
6965,0
6971,16
6976,12
6977,0
6979,15
7006,0
7012,16
7017,12
7018,0
7020,15
7047,0
7053,16
7058,12
7059,0
7061,15
7088,0
7094,16
7099,0
7100,13
7102,15
7137,0
7139,16
7142,12
7143,0
7144,15
7152,16
7156,0
7159,0
7161,15
7166,0
7169,0
7174,0
7178,0
7182,0
7186,0
7190,0
7194,0
